CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
1,219.0,4.0,15460.65,3,3,3,333,Loyal Customers
2,89.0,1.0,8824.33,4,2,3,423,Recent Customers
3,106.0,10.0,49823.8,4,5,5,455,Best Customers
4,421.0,3.0,23362.89,3,3,4,334,Loyal Customers
5,39.0,15.0,48589.89,5,5,5,555,Best Customers
6,2940.0,0.0,0.0,1,1,1,111,At Risk
7,41.0,0.0,0.0,5,1,1,511,Recent Customers
8,507.0,6.0,24355.08,2,4,4,244,Frequent Customers
9,240.0,3.0,18077.93,3,3,3,333,Loyal Customers
10,62.0,6.0,44368.9,5,4,5,545,Best Customers
11,164.0,2.0,8920.42,4,2,3,423,Recent Customers
12,421.0,4.0,20774.78,3,3,4,334,Loyal Customers
13,539.0,2.0,5231.92,2,2,2,222,At Risk
14,17.0,16.0,95132.42,5,5,5,555,Best Customers
15,2178.0,0.0,0.0,1,1,1,111,At Risk
16,181.0,2.0,18379.42,4,2,3,423,Recent Customers
17,1749.0,0.0,0.0,2,1,1,211,At Risk
18,3145.0,0.0,0.0,1,1,1,111,At Risk
19,1121.0,0.0,0.0,2,1,1,211,At Risk
20,3647.0,0.0,0.0,1,1,1,111,At Risk
21,373.0,5.0,31656.57,3,4,4,344,Loyal Customers
22,165.0,13.0,61365.2,4,5,5,455,Best Customers
23,329.0,9.0,35905.1,3,5,4,354,Loyal Customers
24,550.0,0.0,0.0,2,1,1,211,At Risk
25,1789.0,0.0,0.0,2,1,1,211,At Risk
26,1147.0,0.0,0.0,2,1,1,211,At Risk
27,2697.0,0.0,0.0,1,1,1,111,At Risk
28,315.0,8.0,41893.380000000005,3,5,5,355,Loyal Customers
29,3090.0,0.0,0.0,1,1,1,111,At Risk
30,3059.0,0.0,0.0,1,1,1,111,At Risk
31,78.0,2.0,4599.62,4,2,2,422,Recent Customers
32,101.0,8.0,52923.32,4,5,5,455,Best Customers
33,162.0,1.0,1192.57,4,2,2,422,Recent Customers
34,39.0,7.0,36804.19,5,4,4,544,Best Customers
35,55.0,2.0,19773.75,5,2,3,523,Recent Customers
36,10.0,12.0,62783.55,5,5,5,555,Best Customers
37,276.0,0.0,0.0,3,1,1,311,At Risk
38,353.0,6.0,21172.13,3,4,4,344,Loyal Customers
39,90.0,6.0,31616.019999999997,4,4,4,444,Best Customers
40,258.0,4.0,6653.129999999999,3,3,3,333,Loyal Customers
41,23.0,5.0,30136.43,5,4,4,544,Best Customers
42,700.0,0.0,0.0,2,1,1,211,At Risk
43,125.0,5.0,22390.11,4,4,4,444,Best Customers
44,1283.0,0.0,0.0,2,1,1,211,At Risk
45,47.0,5.0,32732.28,5,4,4,544,Best Customers
46,436.0,2.0,3413.6400000000003,3,2,2,322,At Risk
47,404.0,5.0,28288.53,3,4,4,344,Loyal Customers
48,152.0,7.0,30762.43,4,4,4,444,Best Customers
49,618.0,1.0,969.12,2,2,2,222,At Risk
50,138.0,7.0,27846.14,4,4,4,444,Best Customers
51,96.0,0.0,0.0,4,1,1,411,Recent Customers
52,12.0,11.0,61703.19,5,5,5,555,Best Customers
53,227.0,2.0,7396.860000000001,3,2,3,323,At Risk
54,123.0,2.0,9199.26,4,2,3,423,Recent Customers
55,1830.0,0.0,0.0,1,1,1,111,At Risk
56,15.0,3.0,24319.0,5,3,4,534,Loyal Customers
57,1714.0,0.0,0.0,2,1,1,211,At Risk
58,3494.0,0.0,0.0,1,1,1,111,At Risk
59,2581.0,0.0,0.0,1,1,1,111,At Risk
60,1552.0,0.0,0.0,2,1,1,211,At Risk
61,611.0,1.0,5734.39,2,2,2,222,At Risk
62,44.0,6.0,19473.79,5,4,3,543,Loyal Customers
63,166.0,3.0,11344.34,4,3,3,433,Loyal Customers
64,156.0,1.0,7173.59,4,2,3,423,Recent Customers
65,142.0,6.0,26861.93,4,4,4,444,Best Customers
66,242.0,3.0,14162.15,3,3,3,333,Loyal Customers
67,1715.0,0.0,0.0,2,1,1,211,At Risk
68,88.0,1.0,9279.13,4,2,3,423,Recent Customers
69,36.0,3.0,16912.559999999998,5,3,3,533,Loyal Customers
70,257.0,3.0,16149.640000000001,3,3,3,333,Loyal Customers
71,21.0,7.0,32109.32,5,4,4,544,Best Customers
72,1249.0,0.0,0.0,2,1,1,211,At Risk
73,33.0,9.0,45319.700000000004,5,5,5,555,Best Customers
74,1735.0,0.0,0.0,2,1,1,211,At Risk
75,2081.0,0.0,0.0,1,1,1,111,At Risk
76,2332.0,0.0,0.0,1,1,1,111,At Risk
77,171.0,14.0,86891.8,4,5,5,455,Best Customers
78,63.0,4.0,15024.759999999998,5,3,3,533,Loyal Customers
79,49.0,16.0,80570.95,5,5,5,555,Best Customers
80,540.0,0.0,0.0,2,1,1,211,At Risk
81,403.0,5.0,17223.17,3,4,3,343,Loyal Customers
82,176.0,2.0,7403.41,4,3,3,433,Loyal Customers
83,3463.0,0.0,0.0,1,1,1,111,At Risk
84,44.0,7.0,42413.83,5,4,5,545,Best Customers
85,521.0,5.0,19273.47,2,4,3,243,Frequent Customers
86,131.0,10.0,52136.32,4,5,5,455,Best Customers
87,77.0,8.0,34295.81,5,5,4,554,Best Customers
88,346.0,3.0,9050.57,3,3,3,333,Loyal Customers
89,24.0,0.0,0.0,5,1,1,511,Recent Customers
90,1903.0,0.0,0.0,1,1,1,111,At Risk
91,260.0,5.0,28039.670000000002,3,4,4,344,Loyal Customers
92,122.0,11.0,52237.02,4,5,5,455,Best Customers
93,2586.0,0.0,0.0,1,1,1,111,At Risk
94,2487.0,0.0,0.0,1,1,1,111,At Risk
95,706.0,2.0,6904.0199999999995,2,3,3,233,At Risk
96,389.0,4.0,22905.36,3,3,4,334,Loyal Customers
97,690.0,1.0,5233.66,2,2,2,222,At Risk
98,98.0,8.0,43398.62,4,5,5,455,Best Customers
99,353.0,5.0,15557.73,3,4,3,343,Loyal Customers
100,245.0,3.0,25250.8,3,3,4,334,Loyal Customers
101,440.0,0.0,0.0,3,1,1,311,At Risk
102,1375.0,0.0,0.0,2,1,1,211,At Risk
103,30.0,5.0,13056.57,5,4,3,543,Loyal Customers
104,44.0,8.0,44414.24,5,5,5,555,Best Customers
105,2436.0,0.0,0.0,1,1,1,111,At Risk
106,42.0,10.0,51492.8,5,5,5,555,Best Customers
107,22.0,5.0,28483.4,5,4,4,544,Best Customers
108,2347.0,0.0,0.0,1,1,1,111,At Risk
109,616.0,3.0,9085.3,2,3,3,233,At Risk
110,104.0,4.0,23587.59,4,3,4,434,Loyal Customers
111,2551.0,0.0,0.0,1,1,1,111,At Risk
112,86.0,7.0,35834.19,4,4,4,444,Best Customers
113,499.0,0.0,0.0,2,1,1,211,At Risk
114,3230.0,0.0,0.0,1,1,1,111,At Risk
115,2437.0,0.0,0.0,1,1,1,111,At Risk
116,444.0,3.0,12614.599999999999,3,3,3,333,Loyal Customers
117,20.0,9.0,50542.73,5,5,5,555,Best Customers
118,278.0,5.0,35137.200000000004,3,4,4,344,Loyal Customers
